,ID Curvecatch,ProductID,Vendor,Color,Size,VariantID,Variant Barcode,Price,Cost,Model Type,Color Cluster,Vendor Group,Price Tier
0,660,#001,Fantasie,Beige,F75,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
1,659,#002,Fantasie,Beige,F80,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
2,661,#003,Fantasie,Beige,D85,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
3,662,#004,Fantasie,Beige,D90,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
4,654,#005,Fantasie,White,E75,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
5,657,#006,Fantasie,White,F75,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
6,650,#007,Fantasie,White,D80,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
7,653,#008,Fantasie,White,E80,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
8,656,#009,Fantasie,White,F80,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
9,651,#010,Fantasie,White,D85,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
10,655,#011,Fantasie,White,F85,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
11,652,#012,Fantasie,White,D90,FL2024,8.86E+11,64,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
12,1111,#013,Fantasie,Black,E75,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
13,1115,#014,Fantasie,Black,F75,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
14,1117,#015,Fantasie,Black,G75,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
15,1114,#016,Fantasie,Black,F80,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
16,1110,#017,Fantasie,Black,E85,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
17,1113,#018,Fantasie,Black,F85,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
18,1108,#019,Fantasie,Black,D90,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
19,1109,#020,Fantasie,Black,E90,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
20,1112,#021,Fantasie,Black,F90,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
21,1116,#022,Fantasie,Black,G90,FL2024,8.86E+11,65.95,25.6,Bralette,Permanent,Wacoal Group,Medium Tier
