Customer,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8,Preference9,Preference10,Customer Type
1,#123,#655,#865,#173,#955,#1074,#571,#987,#145,#988,1
2,#718,#013,#083,#1088,#251,#133,#385,#740,#530,#973,3
3,#824,#906,#525,#974,#300,#740,#966,#1230,#017,#649,6
4,#431,#733,#1089,#895,#1188,#007,#204,#589,#907,#335,3
5,#861,#045,#963,#473,#447,#966,#075,#312,#078,#866,2
6,#577,#955,#817,#220,#724,#271,#1250,#027,#1150,#407,3
7,#111,#410,#420,#809,#445,#396,#1173,#601,#699,#1079,2
8,#1080,#107,#1070,#1260,#649,#510,#628,#581,#206,#1078,1
9,#306,#613,#732,#1265,#838,#1001,#401,#343,#553,#1014,3
10,#663,#1196,#428,#010,#1237,#724,#1016,#1086,#643,#581,1
11,#148,#517,#194,#308,#293,#660,#1297,#466,#359,#1096,1
12,#1147,#1005,#907,#1260,#898,#126,#704,#530,#847,#1050,4
13,#840,#554,#272,#820,#128,#1105,#1171,#1212,#258,#371,1
14,#1092,#799,#1283,#379,#882,#885,#1069,#472,#526,#214,1
15,#1228,#715,#1144,#240,#449,#598,#119,#698,#282,#377,1
16,#082,#951,#846,#153,#840,#369,#477,#968,#921,#836,1
17,#933,#1269,#937,#682,#1260,#1218,#020,#575,#1096,#145,4
18,#1295,#1164,#1100,#675,#471,#656,#385,#564,#1189,#113,1
19,#1286,#876,#1149,#053,#1013,#966,#1071,#413,#107,#733,4
20,#338,#341,#1159,#839,#231,#066,#875,#418,#1147,#867,2
21,#095,#831,#709,#1184,#1230,#238,#231,#1018,#1062,#287,1
22,#098,#599,#909,#878,#881,#438,#716,#355,#814,#1237,1
23,#346,#1042,#1276,#965,#798,#325,#580,#976,#718,#955,2
24,#431,#124,#019,#975,#421,#849,#714,#1194,#185,#1239,3
25,#696,#498,#313,#830,#638,#356,#071,#1060,#144,#1141,3
26,#096,#700,#740,#325,#101,#1143,#171,#905,#733,#372,3
27,#316,#454,#625,#1050,#649,#765,#272,#255,#149,#763,1
28,#1210,#247,#846,#662,#1194,#062,#399,#1274,#1094,#599,2
29,#357,#327,#1203,#592,#865,#715,#608,#771,#615,#539,4
30,#941,#1032,#016,#871,#709,#623,#228,#915,#411,#1059,3
31,#1184,#300,#072,#648,#951,#978,#490,#489,#1046,#937,2
32,#756,#213,#570,#554,#884,#863,#254,#898,#827,#1014,3
33,#435,#108,#1035,#346,#1179,#1299,#720,#1061,#1050,#005,3
34,#140,#235,#209,#1100,#740,#654,#1286,#664,#198,#464,2
35,#1010,#675,#991,#313,#859,#710,#302,#344,#238,#036,2
36,#1082,#1161,#294,#623,#1008,#622,#034,#1189,#651,#775,1
37,#939,#488,#645,#1200,#334,#943,#1060,#759,#1217,#658,2
